id,age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,DUIs,past_accidents,outcome,telematic_score,monthly_mileage
569520,65+,female,majority,0-9y,high school,high,0.629027313918201,True,after 2015,False,True,10238,12000.0,sedan,0,0,0,False,37.454011884736246,1000.0
750365,16-25,male,majority,0-9y,none,very low,0.3577571170184627,False,before 2015,False,False,10238,16000.0,sedan,0,0,0,True,95.07143064099162,1333.3333333333333
199901,16-25,female,majority,0-9y,high school,low,0.4931457852181982,True,before 2015,False,False,10238,11000.0,sedan,0,0,0,False,73.1993941811405,916.6666666666666
478866,16-25,male,majority,0-9y,university,low,0.2060128507324556,True,before 2015,False,True,32765,11000.0,sedan,0,0,0,False,59.86584841970366,916.6666666666666
731664,26-39,male,majority,10-19y,none,low,0.3883658881572184,True,before 2015,False,False,32765,12000.0,sedan,2,0,1,True,15.601864044243651,1000.0
877557,40-64,female,majority,20-29y,high school,high,0.6191273725847388,True,after 2015,False,True,10238,13000.0,sedan,3,0,3,False,15.599452033620265,1083.3333333333333
930134,65+,male,majority,30y+,high school,high,0.4929435502195342,False,after 2015,True,True,10238,13000.0,sedan,7,0,3,False,5.8083612168199465,1083.3333333333333
461006,26-39,female,majority,0-9y,university,low,0.4686892974344649,False,after 2015,False,True,10238,14000.0,sedan,0,0,0,True,86.61761457749351,1166.6666666666667
68366,40-64,female,majority,20-29y,university,low,0.5218149362971065,False,before 2015,True,False,10238,13000.0,sedan,0,0,0,False,60.11150117432088,1083.3333333333333
445911,40-64,female,majority,0-9y,high school,high,0.5615310319383646,True,before 2015,False,True,32765,11000.0,sedan,0,0,0,True,70.80725777960456,916.6666666666666
275820,65+,male,majority,30y+,high school,high,0.6203612640126029,True,after 2015,True,True,10238,10000.0,sedan,6,2,7,False,2.0584494295802447,833.3333333333334
521399,65+,female,majority,30y+,high school,high,0.7298308815593941,True,after 2015,True,False,32765,12000.0,sedan,4,0,0,False,96.99098521619943,1000.0
