id,age,gender,race,driving_experience,education,income,vehicle_ownership,vehicle_year,married,children,postal_code,vehicle_type,speeding_violations,DUIs,past_accidents,outcome,telematic_score,credit_scores,annual_mileages,monthly_mileages
569520,65+,female,majority,0-9y,high school,high,True,after 2015,False,True,10238,sedan,0,0,0,False,37.45401188473625,0.629027313918201,12000.0,1000.0
750365,16-25,male,majority,0-9y,none,very low,False,before 2015,False,False,10238,sedan,0,0,0,True,95.07143064099164,0.3577571170184627,16000.0,1333.3333333333333
199901,16-25,female,majority,0-9y,high school,low,True,before 2015,False,False,10238,sedan,0,0,0,False,73.1993941811405,0.4931457852181982,11000.0,916.6666666666665
478866,16-25,male,majority,0-9y,university,low,True,before 2015,False,True,32765,sedan,0,0,0,False,59.86584841970365,0.2060128507324556,11000.0,916.6666666666665
731664,26-39,male,majority,10-19y,none,low,True,before 2015,False,False,32765,sedan,2,0,1,True,15.601864044243653,0.3883658881572184,12000.0,1000.0
877557,40-64,female,majority,20-29y,high school,high,True,after 2015,False,True,10238,sedan,3,0,3,False,15.599452033620265,0.6191273725847388,13000.0,1083.3333333333333
930134,65+,male,majority,30y+,high school,high,False,after 2015,True,True,10238,sedan,7,0,3,False,5.8083612168199465,0.4929435502195342,13000.0,1083.3333333333333
461006,26-39,female,majority,0-9y,university,low,False,after 2015,False,True,10238,sedan,0,0,0,True,86.61761457749351,0.4686892974344649,14000.0,1166.6666666666667
68366,40-64,female,majority,20-29y,university,low,False,before 2015,True,False,10238,sedan,0,0,0,False,60.11150117432088,0.5218149362971065,13000.0,1083.3333333333333
445911,40-64,female,majority,0-9y,high school,high,True,before 2015,False,True,32765,sedan,0,0,0,True,70.80725777960456,0.5615310319383646,11000.0,916.6666666666665
275820,65+,male,majority,30y+,high school,high,True,after 2015,True,True,10238,sedan,6,2,7,False,2.0584494295802447,0.6203612640126029,10000.0,833.3333333333335
521399,65+,female,majority,30y+,high school,high,True,after 2015,True,False,32765,sedan,4,0,0,False,96.99098521619943,0.7298308815593941,12000.0,1000.0
429728,40-64,male,majority,20-29y,high school,high,True,before 2015,True,True,10238,sedan,4,1,2,False,83.24426408004217,0.6370447435902447,8000.0,666.6666666666666
569640,16-25,female,majority,0-9y,university,high,True,before 2015,False,True,10238,sedan,0,0,0,False,21.233911067827613,0.59125997174597,11697.003206900365,974.750267241697
980181,26-39,male,majority,10-19y,high school,medium,True,before 2015,True,True,10238,sedan,0,2,1,False,18.182496720710066,0.4615679630439447,12000.0,1000.0
906223,26-39,female,majority,0-9y,high school,high,False,after 2015,True,False,10238,sedan,0,0,0,False,18.34045098534338,0.7627979410816134,11697.003206900365,974.750267241697
517747,65+,male,majority,30y+,university,high,True,before 2015,True,True,32765,sedan,10,2,1,False,30.42422429595377,0.7961748462456987,11697.003206900365,974.750267241697
